tournament,date,home_team,away_team,market,line,over_odds,under_odds,book,is_closing,source_url
FIFA World Cup,2022-11-29,wales,england,match_total,4.5,7.5,1.12,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-29,wales,england,match_total,5.5,18.0,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,tunisia,france,match_total,0.5,1.08,10.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,tunisia,france,match_total,1.5,1.39,3.35,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,tunisia,france,match_total,2.5,2.15,1.8,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,tunisia,france,match_total,3.5,4.0,1.28,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,tunisia,france,match_total,4.5,8.4,1.1,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,tunisia,france,match_total,5.5,21.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,australia,denmark,match_total,0.5,1.06,12.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,australia,denmark,match_total,1.5,1.32,3.7,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,australia,denmark,match_total,2.5,2.0,1.96,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,australia,denmark,match_total,3.5,3.6,1.36,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,australia,denmark,match_total,4.5,7.5,1.13,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,australia,denmark,match_total,5.5,16.0,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,saudi_arabia,mexico,match_total,0.5,1.06,13.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,saudi_arabia,mexico,match_total,1.5,1.33,3.8,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,saudi_arabia,mexico,match_total,2.5,1.93,1.96,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,saudi_arabia,mexico,match_total,3.5,3.4,1.36,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,saudi_arabia,mexico,match_total,4.5,6.8,1.13,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,saudi_arabia,mexico,match_total,5.5,16.0,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,poland,argentina,match_total,0.5,1.07,11.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,poland,argentina,match_total,1.5,1.36,3.45,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,poland,argentina,match_total,2.5,2.13,1.83,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,poland,argentina,match_total,3.5,3.9,1.29,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,poland,argentina,match_total,4.5,8.5,1.1,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-11-30,poland,argentina,match_total,5.5,21.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,canada,morocco,match_total,0.5,1.1,8.6,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,canada,morocco,match_total,1.5,1.45,3.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,canada,morocco,match_total,2.5,2.3,1.73,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,canada,morocco,match_total,3.5,4.5,1.25,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,canada,morocco,match_total,4.5,10.5,1.08,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,canada,morocco,match_total,5.5,25.0,1.03,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,croatia,belgium,match_total,0.5,1.07,11.5,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,croatia,belgium,match_total,1.5,1.34,3.6,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,croatia,belgium,match_total,2.5,2.1,1.85,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,croatia,belgium,match_total,3.5,3.55,1.34,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,croatia,belgium,match_total,4.5,7.5,1.12,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,croatia,belgium,match_total,5.5,17.0,1.04,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,japan,spain,match_total,0.5,1.07,12.0,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,japan,spain,match_total,1.5,1.33,3.65,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,japan,spain,match_total,2.5,2.04,1.88,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
FIFA World Cup,2022-12-01,japan,spain,match_total,3.5,3.65,1.34,oddsportal_avg,True,https://www.oddsportal.com/football/world/world-cup-2022/results/
